timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744696188418,1775,HTTP Request,200,OK,Thread Group 1-6,text,true,,52598,129,94,94,https://www.automationexercise.com/,1740,0,0
1744696188130,2075,HTTP Request,200,OK,Thread Group 1-58,text,true,,52598,129,93,93,https://www.automationexercise.com/,2028,0,307
1744696188359,1865,HTTP Request,200,OK,Thread Group 1-3,text,true,,52598,129,93,93,https://www.automationexercise.com/,1620,0,0
1744696188465,1775,HTTP Request,200,OK,Thread Group 1-4,text,true,,52598,129,92,92,https://www.automationexercise.com/,1668,0,0
1744696188211,2063,HTTP Request,200,OK,Thread Group 1-62,text,true,,52598,129,91,91,https://www.automationexercise.com/,2029,0,229
1744696187851,2548,HTTP Request,200,OK,Thread Group 1-44,text,true,,52598,129,91,91,https://www.automationexercise.com/,2491,0,187
1744696188174,2249,HTTP Request,200,OK,Thread Group 1-60,text,true,,52598,129,91,91,https://www.automationexercise.com/,2163,0,335
1744696188153,2280,HTTP Request,200,OK,Thread Group 1-59,text,true,,52605,129,91,91,https://www.automationexercise.com/,2237,0,279
1744696188479,1958,HTTP Request,200,OK,Thread Group 1-2,text,true,,52598,129,91,91,https://www.automationexercise.com/,1779,0,0
1744696188292,2175,HTTP Request,200,OK,Thread Group 1-66,text,true,,52605,129,90,90,https://www.automationexercise.com/,2147,0,247
1744696188192,2298,HTTP Request,200,OK,Thread Group 1-61,text,true,,52598,129,90,90,https://www.automationexercise.com/,2275,0,332
1744696188253,2332,HTTP Request,200,OK,Thread Group 1-64,text,true,,52598,129,90,90,https://www.automationexercise.com/,2294,0,296
1744696188314,2285,HTTP Request,200,OK,Thread Group 1-67,text,true,,52605,129,90,90,https://www.automationexercise.com/,2253,0,256
1744696188511,2092,HTTP Request,200,OK,Thread Group 1-11,text,true,,52598,129,90,90,https://www.automationexercise.com/,1852,0,0
1744696188560,2051,HTTP Request,200,OK,Thread Group 1-31,text,true,,52598,129,89,89,https://www.automationexercise.com/,1971,0,0
1744696188270,2408,HTTP Request,200,OK,Thread Group 1-65,text,true,,52598,129,88,88,https://www.automationexercise.com/,2350,0,282
1744696187951,2732,HTTP Request,200,OK,Thread Group 1-49,text,true,,52598,129,88,88,https://www.automationexercise.com/,2687,0,185
1744696188594,2140,HTTP Request,200,OK,Thread Group 1-37,text,true,,52598,129,88,88,https://www.automationexercise.com/,2041,0,0
1744696188607,2175,HTTP Request,200,OK,Thread Group 1-8,text,true,,52620,129,87,87,https://www.automationexercise.com/,2130,0,0
1744696188393,2391,HTTP Request,200,OK,Thread Group 1-71,text,true,,52598,129,86,86,https://www.automationexercise.com/,2348,0,235
1744696188110,2793,HTTP Request,200,OK,Thread Group 1-57,text,true,,52598,129,86,86,https://www.automationexercise.com/,2085,0,319
1744696188677,2255,HTTP Request,200,OK,Thread Group 1-40,text,true,,52598,129,86,86,https://www.automationexercise.com/,2165,0,0
1744696187991,3012,HTTP Request,200,OK,Thread Group 1-51,text,true,,52606,129,85,85,https://www.automationexercise.com/,2963,0,243
1744696188350,2658,HTTP Request,200,OK,Thread Group 1-69,text,true,,52598,129,85,85,https://www.automationexercise.com/,2582,0,378
1744696188372,2637,HTTP Request,200,OK,Thread Group 1-70,text,true,,52605,129,85,85,https://www.automationexercise.com/,2569,0,325
1744696188412,2613,HTTP Request,200,OK,Thread Group 1-72,text,true,,52598,129,85,85,https://www.automationexercise.com/,2374,0,221
1744696188717,2353,HTTP Request,200,OK,Thread Group 1-12,text,true,,52598,129,85,85,https://www.automationexercise.com/,2326,0,0
1744696188681,2417,HTTP Request,200,OK,Thread Group 1-33,text,true,,52598,129,84,84,https://www.automationexercise.com/,2324,0,0
1744696188712,2399,HTTP Request,200,OK,Thread Group 1-16,text,true,,52598,129,83,83,https://www.automationexercise.com/,2321,0,0
